ID,PROJECT_NAME,POINT_TYPE,POINT_ORDER,LATITUDE,LONGITUDE,PROJECT_SECTOR,DEVELOPERS,DISTRICT,APPROVED_MONTH,,,,,,
17,Exploration of Heavy Mineral Sands at Lake Chilwa and Chisi Island in Zomba District,Singe_point,,-15.25,35.75,Mining,Chilwa Minerals Africa Ltd,Zomba,March,,,,,,
18,"Construction and Operation of Bwengu Mank Servive Station at Bwengu, Mzimba District",Singe_point,,-11.0546194,35.9220889,Energy,Mank Investments,Mzimba,June,,,,,,
19,Exploration of Graphite and Galena at TA Chimutu Area in Lilongwe District,Boundary,1,-13.749506,33.8879841,Mining,Star Mining Ltd,Lilongwe,June,,,,,,
19,Exploration of Graphite and Galena at TA Chimutu Area in Lilongwe District,Boundary,2,-13.74937,33.9249799,Mining,Star Mining Ltd,Lilongwe,June,,,,,,
19,Exploration of Graphite and Galena at TA Chimutu Area in Lilongwe District,Boundary,3,-13.862382,33.9254255,Mining,Star Mining Ltd,Lilongwe,June,,,,,,
19,Exploration of Graphite and Galena at TA Chimutu Area in Lilongwe District,Boundary,4,-13.8625192,33.8884119,Mining,Star Mining Ltd,Lilongwe,June,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District",Boundary,1,-13.9018114,33.6593855,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 1",Boundary,2,-13.9018355,33.6596476,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 1",Boundary,3,-13.9030106,33.6599351,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 1",Boundary,4,-13.9029051,33.659341,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 1",Boundary,1,-13.9032882,33.6581848,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 2",Boundary,2,-13.9032056,33.6592964,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 2",Boundary,3,-13.9028127,33.6593282,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
20,"Operation of Mtambo Borrow Pit at Mtambo Village, TA Kabudula in Lilongwe District, Plot 2",Boundary,4,-13.9028003,33.6578984,Construction,PLEM Construction Ltd,Lilongwe,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,1,-13.8522321,33.9781276,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,2,-13.8016036,33.9779162,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,3,-13.8015925,33.9806915,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,4,-13.7925517,33.9806537,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,5,-13.7925627,33.9778786,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,6,-13.6609228,33.8821041,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,7,-13.6026121,34.0002016,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
21,"Exploration of Base Metals, Lead, Lithium and Manganese in TA Chimutu in Lilongwe and TA Chiwere in Dowa District",Boundary,8,-13.8522217,33.9807184,Mining,Truestone Mineral Processing Ltd,Lilongwe & Dowa,March,,,,,,
22,Waste Management Plan for Cookstove Manufacturing & Distribution at Njuli in Chiradzulu District,Boundary,,-15.677855,35.135742,Energy,Burn Manufacturing Ltd,Chiradzulu,July,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,1,-13.4658301,33.9699771,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,2,-13.4731054,34.0007048,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,3,-13.4960233,34.0010404,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,4,-13.5103868,33.9834804,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,5,-13.5062006,33.9696041,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,6,-13.5061965,33.96127,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,7,-13.4850752,33.9615274,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
23,"Exploration of Base Metals, Galena, Lithium, Columbite, Zinc, Nickel and Manganese in TA Kasakula in Ntchisi District",Boundary,8,-13.4850607,33.9700084,Mining,Truestone Mineral Processing Ltd,Ntchisi,March,,,,,,
24,"Exploration of Niobium, Tantalum, Titamium, Graphite, Zircon, Gold, Monazite and Base Metals at TA Simlemba Area in Kasungu District",Boundary,1,-12.7314077,33.5472682,Mining,Dew Mining Limited,Kasungu,June,,,,,,
24,"Exploration of Niobium, Tantalum, Titamium, Graphite, Zircon, Gold, Monazite and Base Metals at TA Simlemba Area in Kasungu District",Boundary,2,-12.7158333,33.6377306,Mining,Dew Mining Limited,Kasungu,June,,,,,,
24,"Exploration of Niobium, Tantalum, Titamium, Graphite, Zircon, Gold, Monazite and Base Metals at TA Simlemba Area in Kasungu District",Boundary,3,-12.7598715,33.6407334,Mining,Dew Mining Limited,Kasungu,June,,,,,,
24,"Exploration of Niobium, Tantalum, Titamium, Graphite, Zircon, Gold, Monazite and Base Metals at TA Simlemba Area in Kasungu District",Boundary,4,-12.7704196,33.5840926,Mining,Dew Mining Limited,Kasungu,June,,,,,,
24,"Exploration of Niobium, Tantalum, Titamium, Graphite, Zircon, Gold, Monazite and Base Metals at TA Simlemba Area in Kasungu District",Boundary,5,-12.7631443,33.5823347,Mining,Dew Mining Limited,Kasungu,June,,,,,,
24,"Exploration of Niobium, Tantalum, Titamium, Graphite, Zircon, Gold, Monazite and Base Metals at TA Simlemba Area in Kasungu District",Boundary,6,-12.7644297,33.5522402,Mining,Dew Mining Limited,Kasungu,June,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,1,-13.6947017,33.4995556,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,2,-13.7854221,33.5366879,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,3,-14.0287745,33.4789239,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,4,-13.9982996,33.4672306,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,5,-13.9839854,33.4630999,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,6,-13.9839854,33.4630999,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
25,"Exploration for Graphite, Lead, Platinum Group of Metals, Base Elements within Lilongwe and Dowa District",Boundary,7,-13.7491243,33.4908372,Mining,East Africa Mining Limited,Lilongwe & Dowa,July,,,,,,
26,"Exploration for Base Metals, Lead and Graphite Within TA Chiwere and TA Mkukula in Dowa District and a Small Part of TA Chimutu in Lilongwe District",Boundary,1,-13.904246,33.4073124,Mining,Africa Drilling Mining Limited,Lilongwe & Dowa,July,,,,,,
26,"Exploration for Base Metals, Lead and Graphite Within TA Chiwere and TA Mkukula in Dowa District and a Small Part of TA Chimutu in Lilongwe District",Boundary,2,-13.9367544,33.4162471,Mining,Africa Drilling Mining Limited,Lilongwe & Dowa,July,,,,,,
26,"Exploration for Base Metals, Lead and Graphite Within TA Chiwere and TA Mkukula in Dowa District and a Small Part of TA Chimutu in Lilongwe District",Boundary,3,-13.9510816,33.4441204,Mining,Africa Drilling Mining Limited,Lilongwe & Dowa,July,,,,,,
26,"Exploration for Base Metals, Lead and Graphite Within TA Chiwere and TA Mkukula in Dowa District and a Small Part of TA Chimutu in Lilongwe District",Boundary,4,-13.9230976,33.4076786,Mining,Africa Drilling Mining Limited,Lilongwe & Dowa,July,,,,,,
27,"Exploration of Aluminium, Copper, Graphite, Lead, Nickel, Niobium, Platinum, Rare Earth Elements, Rutile, Silver, Titanium and Zinc in TA Chiseka and Kalolo in Lilongwe District",Boundary,1,-14.1792971,33.5896443,Mining,Alphastone Mining Cooperation Limited,Lilongwe,March,,,,,,
27,"Exploration of Aluminium, Copper, Graphite, Lead, Nickel, Niobium, Platinum, Rare Earth Elements, Rutile, Silver, Titanium and Zinc in TA Chiseka and Kalolo in Lilongwe District",Boundary,2,-14.0885285,33.4116665,Mining,Alphastone Mining Cooperation Limited,Lilongwe,March,,,,,,
27,"Exploration of Aluminium, Copper, Graphite, Lead, Nickel, Niobium, Platinum, Rare Earth Elements, Rutile, Silver, Titanium and Zinc in TA Chiseka and Kalolo in Lilongwe District",Boundary,3,-14.1194898,33.5095747,Mining,Alphastone Mining Cooperation Limited,Lilongwe,March,,,,,,
